"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"KAISER FOUNDATION HP, INC.","Kaiser Permanente","H1230","Local CCP","HMO/HMOPOS","05/01/1986","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","36,037","711 KAPIOLANI BLVD","","HONOLULU","HI","96813","","Services","Member","","1-800-443-0815","","","mscc@kp.org","10740 Fourth St., Second Floor","","Rancho Cucamonga","CA","91730","11/12/2021"
"KAISER FOUNDATION HP, INC.","Kaiser Permanente","H0524","Local CCP","HMO/HMOPOS","08/01/1987","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","1,307,642","P.O. BOX 12916","","OAKLAND","CA","946042916","","Services","Member","","1-800-443-0815","","","mscc@kp.org","10740 Fourth St., Second Floor","","Rancho Cucamonga","CA","91730","10/10/2014"
"KAISER PERMANENTE INSURANCE COMPANY","Kaiser Permanente","H3138","Local CCP","Local PPO","01/01/2024","For Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","469","One Kaiser Plaza","","Oakland","CA","94612","","Services","Member","","1-800-476-2167","","","colorado.cs@kp.org","2500 S. Havana St.","","Aurora","CO","80014","02/14/2023"
"KANSAS SUPERIOR SELECT, INC.","Kansas Health Advantage","H2392","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Kansas Superior Select","Dallas","798","201 Jordan Road","Suite 200","Franklin","TN","37067","Sr Director, Health Plan","Brimm","Angie","","1-800-399-7524","","1-844-280-5360","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"KEYSTONE HEALTH PLAN CENTRAL, INC.","Capital Blue Cross","H3962","Local CCP","HMO/HMOPOS","05/01/1996","For Profit","CAPITAL BLUE CROSS","Philadelphia","8,027","P.O. Box 779827","","HARRISBURG","PA","171779827","Medicare Compliance Offic","Yu","Gloria","","1-866-688-2242","","","Gloria.Yu@capbluecross.com","2500 Elmerton Avenue","","Harrisburg","PA","17177","03/07/2023"
"KEYSTONE HEALTH PLAN EAST, INC.","Independence Blue Cross","H3952","Local CCP","HMO/HMOPOS","01/01/1993","For Profit","Independence Health Group, Inc.","Philadelphia","74,437","1901 MARKET ST","45TH FLOOR","PHILADELPHIA","PA","19103","","Service","Customer","","1-800-645-3965","","","info@ibxmedicare.com","PO Box 7799","","Philadelphia","PA","19101-7799","04/29/2015"
"KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","H0332","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","UnitedHealth Group, Inc.","San Francisco","56,297","2727 West Holcombe","4th Floor, Admin","Houston","TX","77025","Member Services Represent","Services","Member","","1-866-535-8343","","","memberservices@kelseycareadvantage.com","11511 Shadow Creek Parkway","","Pearland","TX","77584","10/26/2017"
"LA COAST PACE, LLC","WelbeHealth","H1544","National PACE","National PACE","01/01/2020","For Profit","WelbeHealth LLC.","San Francisco","360","1220 E 4th Street","","Long Beach","CA","90802","","Grant","Alexsa","","1-650-336-0300","","","alexsa.grant@welbehealth.com","440 N BARRANCA AVE #4051","","COVINA","CA","91723","01/20/2023"
"LAWNDALE CHRISTIAN HEALTH CENTER","Lawndale Christian Health Center","H5993","National PACE","National PACE","05/01/2024","Not-for-Profit/Non-Profit","Lawndale Christian Health Center","Chicago","*","3860 W Ogden Ave","","Chicago","IL","60623","","Wildt","Jonathan","","1-872-588-3000","","","PACE@lawndale.org","3860 W Ogden Ave","","Chicago","IL","60623","12/20/2022"
"LEON HEALTH, INC.","Leon Health, Inc.","H4286","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","LMC Family Holdings, LLC","Atlanta","38,981","8600 NW 41 Street","Suite 201","Miami","FL","33166","VP & CIO","Gomez","Marcus","","1-305-644-2156","","","marcus.gomez@leonmedicalcenters.com","8600 NW 41 St","","Miami","FL","33166","02/05/2021"
"LIBERTY ADVANTAGE, LLC","Liberty Medicare Advantage","H6351","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Liberty Healthcare Insurance","Atlanta","1,147","2334 S. 41st Street","","Wilmington","NC","28403","Compliance Officer","ORourke","David","A","1-844-854-6884","","","LibertyProviderIVR@mirrahealthcare.com","PO Box 3325","","Spring Hill","FL","34611","04/10/2023"
"LIFE AT LOURDES, INC.","Trinity Health LIFE New Jersey","H3493","National PACE","National PACE","05/01/2009","Not-for-Profit/Non-Profit","Trinity Health Corporation","New York","162","2475 McClellan Ave., Bldg C","Building C","Pennsauken","NJ","08109","Executive Director","Sullivan","Margaret","","1-856-675-3663","","1-856-675-3659","Marge.Sullivan@trinity-health.org","2475 McClellan Avenue","Building C","Pennsauken","NJ","08109","08/02/2023"
"LIFE AT ST. FRANCIS HEALTHCARE, INC.","Saint Francis LIFE","H5493","National PACE","National PACE","02/01/2013","Not-for-Profit/Non-Profit","Trinity Health Corporation","Philadelphia","301","1072 Justison Street","","Wilmington","DE","19801","Executive Director","Gonzalez","Michele","","1-302-660-3352","","1-302-575-8236","Michele.Gonzalez@trinity-health.org","1072 Justison Street","","Wilmington","DE","19801","11/27/2023"
"LIFE COORDINATED COMMONWEALTH PACE INC","LIFE COORDINATED COMMONWEALTH PACE INC","H0016","National PACE","National PACE","04/01/2024","For Profit","LIFE COORDINATED COMMONWEALTH PACE, Inc","Atlanta","","PO Box 2403","","Brentwood","TN","37024","CEO","Everitt","Nancy","C","1-855-209-5451","","","neveritt@heops.com","PO Box 2403","","Brentwood","TN","37024","03/29/2023"
"LIFE Northwestern Pennsylvania, LLC","LIFE Northwestern Pennsylvania","H4999","National PACE","National PACE","11/01/2013","For Profit","One Senior Care, Inc.","Philadelphia","690","100 State Street","STE 201","Erie","PA","16507","VP, Controller","Haschalk","Danielle","","1-814-456-5433","","","danielle.haschalk@oneseniorcare.com","100 State Street","Suite 200","Erie","PA","16507","06/28/2024"
"LIFE PACE","LIFE PACE, INC.","H6941","National PACE","National PACE","01/01/2015","Not-for-Profit/Non-Profit","LIFE Senior Services, Inc.","Dallas","238","5330 E. 31st Street, Suite 800","","Tulsa","OK","74135","PACE Program Director","Blue","Samatha","","1-918-664-9000","","","sblue@lifeseniorservices.org","5330 E. 31st Street, Suite 800","","Tulsa","OK","74135","09/28/2021"
"LIFE ST. JOSEPH OF THE PINES, INC.","LIFE St. Joseph of the Pines","H1500","National PACE","National PACE","04/01/2011","Not-for-Profit/Non-Profit","Trinity Health Corporation","Atlanta","164","4900 Raeford Rd","","Fayetteville","NC","28304","Executive Director","Alexander-Hines","Joyce","","1-910-429-7202","","","joyce.alexander-hines@trinity-health.org","4900 Raeford Rd","","Fayetteville","NC","28304","08/04/2023"
"LIFE ST. MARY","LIFE St. Mary","H6551","National PACE","National PACE","03/01/2010","Not-for-Profit/Non-Profit","Trinity Health Corporation","Philadelphia","247","2500 Northgate Road","","Trevose","PA","19053","Executive Director","Moore","Daniel","","1-267-991-7660","","1-267-991-7618","Dmoore2@trinity-health.org","2500 Northgate Road","","Trevose","PA","19053","09/13/2023"
"LIFECIRCLES","LIFECIRCLES","H2936","National PACE","National PACE","02/01/2009","Not-for-Profit/Non-Profit","LifeCircles","Chicago","408","560 Seminole Rd.","","Muskegon","MI","49444","","Gras","Heidi","","1-616-582-3111","","","hgras@lifecircles-pace.org","12330 James Street","","Holland","MI","49424","01/08/2021"
"LIFEWORKS ADVANTAGE, LLC","Align Senior Care","H2185","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Curana Health Holdings, LLC","Philadelphia","337","10900 Nuckols Rd.","Suite 110","Glen Allen","VA","23060","","Sindlinger","Rocio","","1-844-854-6883","","","rocio.sindlinger@allyalign.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/15/2021"
"LIVING INDEPENDENCE FOR THE ELDERLY PITTSBURGH INC","LIFE Pittsburgh","H3918","National PACE","National PACE","05/01/2005","Not-for-Profit/Non-Profit","Living Independence for the Elderly","Philadelphia","512","875 Greentree Road","One Parkway Center, Suite 200","PITTSBURGH","PA","15220","CFO","Schmitt","Laura","B","1-412-388-8042","","1-412-388-8055","lschmitt@lifepittsburgh.org","875 Greentree Road","One Parkway Center, Suite 200","Pittsburgh","PA","15220","01/05/2021"
"LOCAL INITIATIVE HEALTH AUTHORITY FOR LA COUNTY","L.A. Care Health Plan","H1224","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","Local Initiative Health Authority for LA County","San Francisco","19,795","1200 West 7th Street","","Los Angeles","CA","90017","Customer Solution Center","Service Unit","Provider","","1-866-522-2736","","","mtisdale@lacare.org","1200 West 7th Street","","Los Angeles","CA","90017","04/30/2024"
"LOMA LINDA UNIVERSITY MEDICAL CENTER","Loma Linda University Health PACE","H6147","National PACE","National PACE","01/01/2024","Not-for-Profit/Non-Profit","Loma Linda University Medical Center","San Francisco","27","11234 Anderson Street","","Loma Linda","CA","92354","Program Director","Von Esch","Leslie","","1-909-558-7223","","","LVonEsch@llu.edu","1790 West Park Ave","","Redlands","CA","92373","03/06/2024"
"LONGEVITY HEALTH PLAN OF COLORADO, INC.","Longevity Health Plan","H0363","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Longevity Health Founders, LLC","New York","296","485 Madison Avenue","","New York","NY","10022","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","05/03/2022"
"LONGEVITY HEALTH PLAN OF FLORIDA, INC.","Longevity Health Plan","H1644","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Longevity Health Founders, LLC","New York","629","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","03/14/2024"
"LONGEVITY HEALTH PLAN OF ILLINOIS, INC.","Longevity Health","H9590","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Longevity Health Founders, LLC","New York","781","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","03/14/2024"
"LONGEVITY HEALTH PLAN OF MASSACHUSETTS INC","Longevity Health Plan of Massachusetts","H9940","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Longevity Health Founders, LLC","New York","","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","05/21/2024"
"LONGEVITY HEALTH PLAN OF MICHIGAN, INC.","Longevity Health Plan","H7557","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Longevity Health Founders, LLC","New York","990","485 Madison Avenue","Suite 202","New York","NY","10022","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","03/14/2024"
"LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP","Longevity Health Plan","H9942","Local CCP","Local PPO","01/01/2020","For Profit","Longevity Health Founders, LLC","New York","1,271","695 Cross St","Suite 185","Lakewood","NJ","08701","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","03/14/2024"
"LONGEVITY HEALTH PLAN OF NEW YORK, INC.","Longevity Health Plan","H8457","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Longevity Health Founders, LLC","New York","790","485 Madison Avenue","Suite 202","New York","NY","10022","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","03/14/2024"
"LONGEVITY HEALTH PLAN OF NORTH CAROLINA, INC.","Longevity Health Plan","H5374","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Longevity Health Founders, LLC","New York","1,007","11780 U.S. Highway 1 Suite N107","Suite 3E102","Palm Beach Gardens","FL","33408","Medicare Compliance Direc","Socoski","Beth","","1-888-313-3609","","","Compliance@longevityhealthplan.com","11780 U.S. Highway 1 Suite N107","","Palm Beach Gardens","FL","33408","03/14/2024"
"LORETTO INDEPENDENT LIVING SERVICES, INC.","Independent Living Srvcs Of Central Ny","H3321","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Loretto Rest Realty Corporation","New York","567","100 MALTA LANE","","NORTH SYRACUSE","NY","13212","Marketing Director","Natoli","Tammy","","1-315-413-4579","","","tnatoli@lorettosystem.org","100 Malta Lane","","North Syracuse","NY","13212","05/03/2022"
"LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY","Blue Cross and Blue Shield of Louisiana","H1248","Local CCP","Local PPO","01/01/2019","Not-for-Profit/Non-Profit","Louisiana Health Service & Indemnity Company","Denver","11,428","5525 Reitz Avenue","","Baton Rouge","LA","70809","","Service","Customer","","1-866-508-7145","","","customerservice@blueadvantage.bcbsla.com","130 Desiard Street","","Monroe","LA","71201","01/04/2021"
"LOUISIANA HEALTHCARE CONNECTIONS, INC.","Wellcare by Allwell","H5117","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Denver","","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"LUBBOCK REGIONAL MENTAL HEALTH MENTAL RETARDATION","Silver Star","H9998","National PACE","National PACE","05/01/2010","Not-for-Profit/Non-Profit","Lubbock Regional Mental Health","New York","148","PO Box 2828","4010 22nd Street","LUBBOCK","TX","794082828","Director of Data Manageme","SHELL","BRIAN","","1-806-767-1726","","1-806-791-0578","PACEdatateam@starcarelubbock.org","P.O. Box 2828","","Lubbock","TX","79408","01/18/2019"
"LUTHERAN SENIOR HEALTHCARE, INC.","Lutheran Senior LIFE","H6371","National PACE","National PACE","07/01/2010","Not-for-Profit/Non-Profit","Lutheran Social Ministries of New Jersey","New York","83","3 Manhattan Drive","","Burlington","NJ","08016","Executive Director","Iavarone","Maria","","1-201-499-3900","3879","1-201-706-2092","miavarone@lsmnj.org","377 Jersey Avenue","Suite   310","Jersey City","NJ","07302","12/03/2021"
"MAGNOLIA HEALTH PLAN, INC.","Wellcare by Allwell","H9811","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Centene Corporation","Denver","","7700 Forsyth Blvd","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"MANAGED HEALTH SERVICES INSURANCE CORP.","Wellcare by Allwell","H8189","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Centene Corporation","Denver","7,131","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"MARQUIS ADVANTAGE, INC.","AgeRight Advantage","H1372","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Marquis Companies I, Inc.","Seattle","639","4560 SE International Way","#100","Milwaukie","OR","97222","","Sindlinger","Rocio","","1-844-854-6885","","","rocio.sindlinger@allyalign.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/14/2021"
"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","H1365","Local CCP","Local PPO","01/01/2010","Not-for-Profit/Non-Profit","Martin's Point Health Care, Inc.","New York","1,524","PO Box 9746","331 Veranda St.","Portland","ME","04104","Director Compliance & MCO","Loomis","Elizabeth","","1-888-732-7364","","","elizabeth.loomis@martinspoint.org","P.O. Box 9746","331 Veranda Street Bldg 2","Portland","ME","04104","01/04/2024"
"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","H5591","Local CCP","HMO/HMOPOS","01/01/2007","Not-for-Profit/Non-Profit","Martin's Point Health Care, Inc.","New York","72,591","P.O. Box 9746","331 Veranda Street","Portland","ME","04104","Director Compliance & MCO","Loomis","Elizabeth","","1-888-732-7364","","","elizabeth.loomis@martinspoint.org","P.O. Box 9746","331 Veranda Street Bldg 2","Portland","ME","04104","06/20/2024"
"MATTHEW THORNTON HEALTH PLAN, INC.","Anthem Blue Cross and Blue Shield","H3536","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Elevance Health, Inc.","Chicago","5,565","3000 Goffs Falls Road","","Manchester","NH","031110001","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"MCGREGOR PACE","McGregor PACE","H3613","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","McGregor at Overlook","Chicago","511","26310 Emery Road","","Warrensville HEIGHTS","OH","44128","CEO","McCoy","Tangi","","1-216-791-3580","","","tangi.mccoy@mcgregorctr.org","26310 Emery Road","","Warrensville Heights","OH","44128","11/05/2021"
